,Station_ID,Station_Name_x,Station_Name_y,Community_Areas
0,40830,18th,18th,33.0
1,41120,35-Bronzeville-IIT,35th-Bronzeville-IIT,1.0
2,40120,35th-Archer,35th-Archer,56.0
3,41270,43rd,43rd,4.0
4,41230,47th-Dan Ryan,47th,3.0
5,41080,47th-South Elevated,47th,4.0
6,40130,51st,51st,4.0
7,40580,54th-Cermak,54th-Cermak,
8,40910,63rd-Dan Ryan,63rd,66.0
9,40990,69th,69th,67.0
10,40240,79th,79th,40.0
11,41430,87th,87th,40.0
12,40450,95th-Dan Ryan,95th-Dan Ryan,45.0
13,40680,Adams-Wabash,Adams-Wabash,38.0
14,41440,Addison-Brown,Addison,46.0
15,41420,Addison-North Main,Addison,57.0
16,41240,Addison-O'Hare,Addison,16.0
17,41200,Argyle,Argyle,31.0
18,40660,Armitage,Armitage,68.0
19,40290,Ashland-63rd,Ashland-63rd,65.0
20,40170,Ashland-Lake,Ashland,29.0
21,41060,Ashland-Orange,Ashland,33.0
22,40010,Austin-Forest Park,Austin,
23,41260,Austin-Lake,Austin,26.0
24,41320,Belmont-North Main,Belmont,57.0
25,40060,Belmont-O'Hare,Belmont,22.0
26,40340,Berwyn,Berwyn,76.0
27,41380,Bryn Mawr,Bryn Mawr,76.0
28,40440,California-Cermak,California,32.0
29,41360,California-Lake,California,28.0
30,40570,California-Milwaukee,California,23.0
31,40780,Central Park,Central Park,30.0
32,41250,Central-Evanston,Central,
33,40280,Central-Lake,Central,26.0
34,41000,Cermak-Chinatown,Cermak-Chinatown,35.0
35,41690,Cermak-McCormick Place,Cermak-McCormick Place,34.0
36,40710,Chicago-Franklin,Chicago,37.0
37,41410,Chicago-Milwaukee,Chicago,25.0
38,41450,Chicago-State,Chicago,37.0
39,40420,Cicero-Cermak,Cicero,
40,40970,Cicero-Forest Park,Cicero,26.0
41,40480,Cicero-Lake,Cicero,26.0
42,40630,Clark-Division,Clark-Division,37.0
43,40380,Clark-Lake,Clark-Lake,38.0
44,40430,Clinton-Forest Park,Clinton,29.0
45,41160,Clinton-Lake,Clinton,29.0
46,41670,Conservatory,Conservatory,28.0
47,40230,Cumberland,Cumberland,75.0
48,40090,Damen-Brown,Damen,6.0
49,40210,Damen-Cermak,Damen,33.0
50,40590,Damen-Milwaukee,Damen,25.0
51,40050,Davis,Davis,
52,40690,Dempster,Dempster,
53,40140,Dempster-Skokie,Dempster-Skokie,
54,40530,Diversey,Diversey,57.0
55,40320,Division-Milwaukee,Division,25.0
56,40720,East 63rd-Cottage Grove,Cottage Grove,9.0
57,40390,Forest Park,Forest Park,
58,40520,Foster,Foster,
59,40870,Francisco,Francisco,14.0
60,41220,Fullerton,Fullerton,68.0
61,41170,Garfield-Dan Ryan,Garfield,3.0
62,40510,Garfield-South Elevated,Garfield,7.0
63,40490,Grand-Milwaukee,Grand,25.0
64,40330,Grand-State,Grand,37.0
65,40760,Granville,Granville,76.0
66,40940,Halsted-63rd,Halsted,66.0
67,41130,Halsted-Orange,Halsted,58.0
68,40980,Harlem-Forest Park,Harlem,
69,40020,Harlem-Lake,Harlem-Lake,
70,40750,Harlem-O'Hare,Harlem,36.0
71,41490,Harrison,Harrison,38.0
72,40900,Howard,Howard,10.0
73,40300,Indiana,Indiana,4.0
74,41460,Irving Park-Brown,Irving Park,46.0
75,40550,Irving Park-O'Hare,Irving Park,16.0
76,40070,Jackson-Dearborn,Jackson,38.0
77,40560,Jackson-State,Jackson,38.0
78,41190,Jarvis,Jarvis,10.0
79,41280,Jefferson Park,Jefferson Park,11.0
80,41180,Kedzie-Brown,Kedzie,14.0
81,41040,Kedzie-Cermak,Kedzie,30.0
82,40250,Kedzie-Homan-Forest Park,Kedzie-Homan,28.0
83,41070,Kedzie-Lake,Kedzie,28.0
84,41150,Kedzie-Midway,Kedzie,55.0
85,41290,Kimball,Kimball,14.0
86,41140,King Drive,King Drive,9.0
87,40600,Kostner,Kostner,30.0
88,41340,LaSalle,LaSalle,38.0
89,40160,LaSalle-Van Buren,LaSalle-Van Buren,38.0
90,41660,Lake-State,Lake,38.0
91,40700,Laramie,Laramie,26.0
92,40770,Lawrence,Lawrence,31.0
93,40850,Library,Harold Washington Library-State-Van Buren,38.0
94,41050,Linden,Linden,
95,41020,Logan Square,Logan Square,23.0
96,41300,Loyola,Loyola,10.0
97,40640,Madison-Wabash,,
98,40270,Main,Main,
99,40810,Medical Center,Illinois Medical District,29.0
100,40460,Merchandise Mart,Merchandise Mart,37.0
101,40930,Midway Airport,Midway,53.0
102,40790,Monroe-Dearborn,Monroe,38.0
103,41090,Monroe-State,Monroe,38.0
104,41500,Montrose-Brown,Montrose,6.0
105,41330,Montrose-O'Hare,Montrose,16.0
106,41510,Morgan-Lake,Morgan,29.0
107,40100,Morse,Morse,10.0
108,40650,North-Clybourn,North-Clybourn,37.0
109,40400,Noyes,Noyes,
110,40890,O'Hare Airport,O'Hare,75.0
111,40180,Oak Park-Forest Park,Oak Park,
112,41350,Oak Park-Lake,Oak Park,
113,41680,Oakton-Skokie,Oakton-Skokie,
114,41310,Paulina,Paulina,57.0
115,41030,Polk,Polk,29.0
116,40150,Pulaski-Cermak,Pulaski,30.0
117,40920,Pulaski-Forest Park,Pulaski,27.0
118,40030,Pulaski-Lake,Pulaski,27.0
119,40960,Pulaski-Orange,Pulaski,60.0
120,40040,Quincy-Wells,Quincy-Wells,38.0
121,40470,Racine,Racine,29.0
122,40200,Randolph-Wabash,,
123,40610,Ridgeland,Ridgeland,
124,41010,Rockwell,Rockwell,6.0
125,41400,Roosevelt,Roosevelt,34.0
126,40820,Rosemont,Rosemont,
127,40800,Sedgwick,Sedgwick,37.0
128,40080,Sheridan,Sheridan,57.0
129,40840,South Boulevard,South Boulevard,
130,40360,Southport,Southport,57.0
131,40190,Sox-35th-Dan Ryan,Sox-35th,35.0
132,40260,State-Lake,State-Lake,38.0
133,40880,Thorndale,Thorndale,76.0
134,40350,UIC-Halsted,UIC-Halsted,29.0
135,40370,Washington-Dearborn,Washington,38.0
136,40500,Washington-State,,
137,41700,Washington-Wabash,Washington-Wabash,38.0
138,40730,Washington-Wells,Washington-Wells,38.0
139,41210,Wellington,Wellington,57.0
140,41480,Western-Brown,Western,6.0
141,40740,Western-Cermak,Western,33.0
142,40220,Western-Forest Park,Western,29.0
143,40670,Western-Milwaukee,Western,23.0
144,40310,Western-Orange,Western,61.0
145,40540,Wilson,Wilson,31.0
